-20.7321	4.17633	
-20.726	4.18091	
-20.7214	4.16718	
-20.7275	4.17023	
-20.726	4.16718	
-20.7367	4.15802	
-20.7199	4.16718	
-20.7138	4.17328	
-20.7199	4.15955	
-20.7199	4.16718	
-20.7031	4.16565	
-20.7062	4.1626	
-20.7016	4.1687	
-20.6894	4.16565	
-20.6924	4.17328	
-20.6802	4.17633	
-20.665	4.17175	
-20.6558	4.16718	
-20.6451	4.17175	
-20.6375	4.17633	
-20.639	4.18549	
-20.6177	4.17938	
-20.6161	4.18091	
-20.6314	4.17938	
-20.636	4.1626	
-20.6497	4.15649	
-20.6451	4.15649	
-20.6299	4.14734	
-20.6482	4.15955	
-20.6604	4.17023	
-20.6406	4.16107	
-20.6635	4.16718	
-20.6726	4.15344	
-20.6772	4.15192	
-20.6863	4.13513	
-20.7092	4.13971	
-20.7031	4.13208	
-20.7291	4.14429	
-20.726	4.14581	
-20.7443	4.13055	
-20.7428	4.14124	
-20.7489	4.14886	
-20.7367	4.14276	
-20.723	4.15039	
-20.7428	4.13818	
-20.7214	4.16412	
-20.7153	4.16565	
-20.7153	4.15955	
-20.7108	4.15802	
-20.7108	4.15039	
-20.7047	4.15497	
-20.694	4.15802	
-20.6924	4.15192	
-20.6848	4.16565	
-20.6833	4.15344	
-20.6833	4.1626	
-20.6741	4.1626	
-20.6635	4.16412	
-20.6345	4.17938	
-20.6451	4.17023	
-20.6238	4.15955	
-20.6223	4.15344	
-20.6268	4.13818	
-20.6238	4.15344	
-20.6268	4.1626	
-20.636	4.15497	
-20.6375	4.17633	
-20.6543	4.1687	
-20.6528	4.14734	
-20.6482	4.15192	
-20.6512	4.15039	
-20.6528	4.14429	
-20.6589	4.15192	
-20.6604	4.16565	
-20.6833	4.14429	
-20.7047	4.1275	
-20.7169	4.11987	
-20.7397	4.15039	
-20.7291	4.14581	
-20.7413	4.14429	
-20.7504	4.14429	
-20.7489	4.14429	
-20.752	4.13666	
-20.7443	4.14124	
-20.7321	4.1275	
-20.7169	4.15039	
-20.7291	4.14581	
-20.7169	4.14581	
-20.7169	4.15192	
-20.7031	4.15802	
-20.7092	4.14734	
-20.7047	4.14429	
-20.6985	4.1626	
-20.6924	4.15649	
-20.6802	4.15802	
-20.6711	4.17786	
-20.6451	4.16107	
-20.6345	4.16565	
-20.6299	4.1626	
-20.6192	4.16718	
-20.6207	4.1626	
-20.6207	4.17328	
-20.6055	4.16718	
-20.6329	4.15649	
-20.6268	4.17175	
-20.6268	4.16412	
-20.6345	4.17633	
-20.6375	4.17633	
-20.6268	4.17786	
-20.6406	4.17633	
-20.636	4.17938	
-20.6543	4.17786	
-20.6451	4.16718	
-20.6573	4.16107	
-20.6726	4.17175	
-20.6802	4.15192	
-20.7001	4.14581	
-20.7047	4.15649	
-20.7153	4.13818	
-20.7306	4.13513	
-20.7306	4.14734	
-20.7321	4.15192	
-20.7413	4.15039	
-20.7214	4.14581	
-20.7184	4.14429	
-20.7184	4.14276	
-20.7138	4.14734	
-20.7031	4.13971	
-20.7199	4.14276	
-20.6924	4.15039	
-20.7001	4.16107	
-20.6909	4.16565	
-20.6863	4.1748	
-20.668	4.16718	
-20.6604	4.15039	
-20.6467	4.15497	
-20.6467	4.14581	
-20.6177	4.15955	
-20.6009	4.16565	
-20.6024	4.17175	
-20.5978	4.17633	
-20.5978	4.15497	
-20.5933	4.17328	
-20.6024	4.17938	
-20.5978	4.16412	
-20.6085	4.15802	
-20.6085	4.15802	
-20.6207	4.15802	
-20.6299	4.16107	
-20.6268	4.15497	
-20.6284	4.1626	
-20.6375	4.15802	
-20.6467	4.16565	
-20.6345	4.15497	
-20.665	4.15192	
-20.6711	4.13361	
-20.6863	4.13361	
-20.7016	4.13971	
-20.7153	4.13055	
-20.7108	4.12903	
-20.7367	4.13208	
-20.7352	4.14429	
-20.7321	4.14581	
-20.7489	4.13818	
-20.7504	4.13971	
-20.723	4.15497	
-20.7169	4.15192	
-20.7092	4.15497	
-20.7062	4.14581	
-20.6879	4.15497	
-20.6879	4.15649	
-20.697	4.16412	
-20.6863	4.18243	
-20.6726	4.1748	
-20.665	4.18854	
-20.6543	4.18701	
-20.6375	4.20227	
-20.6299	4.19617	
-20.6253	4.18396	
-20.6085	4.18396	
-20.6055	4.17938	
-20.6039	4.19159	
-20.6192	4.18091	
-20.6177	4.17633	
-20.607	4.17175	
-20.6207	4.16412	
-20.6299	4.15955	
-20.6406	4.15802	
-20.6467	4.16412	
-20.6436	4.17938	
-20.6619	4.17938	
-20.6604	4.1687	
-20.6635	4.16565	
-20.6589	4.16718	
-20.6802	4.13971	
-20.697	4.13971	
-20.7184	4.13971	
-20.7169	4.13971	
-20.7382	4.15192	
-20.7458	4.14429	
-20.755	4.13361	
-20.7367	4.14581	
